Code,DayST,DayF,DaySNight
9800,24 שעות,עד 16:00,מהשעה  18:45
9700,24 שעות,עד 15:30,מהשעה  18:30
9650,24 שעות,עד 15:30,מהשעה  17:45
9600,24 שעות,עד 15:15,מהשעה  18:00
9200,04:30-01:15,05:00-16:00,17:45-22:15
9100,05:00-23:00,05:15-15:15,18:00-21:00
9000,24 שעות,עד 15:45,מהשעה  18:30
8800,04:45-01:00,05:15-16:00,18:00-22:00
8700,04:45-01:15,05:00-16:00,17:45-22:15
8600,24 שעות,עד 15:45,מהשעה 19:00
8550,04:15-00:30,04:15-15:30,18:00-23:45
7500,05:45/15:15-11:30/18:30,07:30/10:30/12:30 - 7:45/10:45/12:45,19:00-19:15
7320,"24 שעות	",עד 16:00,מהשעה  18:00
7300,04:00-01:00,04:00-16:00,18:00-00:00
7000,04:30-00:15,04:30-15:15,18:00-23:30
6700,05:15-21:45,06:45-14:15,18:45-22:00
6500,07:40-19:40,08:00-13:15,"סגור "
6300,05:00-00:00,05:30-15:00,19:30-21:30
5900,24 שעות,עד 16:30,מהשעה  17:15
5800,24 שעות,עד 16:15,מהשעה  18:00
5300,05:00-00:00,05:15-15:15,18:00-22:45
5200,04:30-00:00,05:00-15:45,17:45-23:00
5150,05:15-23:45,05:15-15:00,18:30-21:15
5010,04:45-00:30,05:30-15:15,18:30-21:15
5000,05:30-22:59,05:30-15:45,18:00-23:15
4800,05:15-23:45,04:45-15:00,18:30-22:00
4690,04:45-00:45,05:15-15:45,18:30-22:30
4680,24 שעות,עד 15:45,מהשעה  18:30
4660,05:00-00:30,05:15-15:45,18:30-22:30
4640,05:00-00:30,05:15-15:45,18:30-22:30
4600,04:30-00:30,04:30-16:00,17:30-23:00
4250,04:45-01:00,05:15-15:45,18:00-22:00
4170,05:00-01:00,05:30-15:45,18:00-21:45
4100,05:00-01:00,05:30-15:45,18:15-21:45
3700,24 שעות,עד 16:00,מהשעה  17:30
3600,04:45-00:45,04:30-16:00,17:45-22:45
3500,24 שעות,עד 15:30,מהשעה 18:00
3400,04:30-00:31,04:30-15:30,18:00-22:30
3310,04:45-00:30,04:30-15:30,18:00-22:00
3300,24 שעות,עד 15:30,מהשעה 18:00
3100,24 שעות,עד 15:30,מהשעה 18:00
2820,05:00-01:00,05:00-15:30,18:00-23:00
2800,24 שעות,עד 15:30,מהשעה 18:00
2500,04:30-00:00,05:00-15:15,18:00-23:15
2300,24 שעות,עד 16:30,מהשעה  17:30
2200,04:00-01:30,04:30-16:00,17:30-23:30
1600,24 שעות,עד 15:30,מהשעה 17:15
1500,24 שעות,עד 15:15,מהשעה 17:15
1300,05:00-22:30,04:30-15:30,17:45-23:45
1280,04:30-22:15,05:15-15:45,18:15-22:00
1260,04:45-22:00,05:30-15:30,18:00-22:00
1250,04:45-22:15,05:45-15:15,18:30-22:00
1240,05:00-22:30,05:45-15:30,18:15-21:45
1220,04:30-01:45,04:15-15:45,17:30-23:45
1400,24 שעות,עד 15:30,מהשעה 17:45
700,04:30-01:45,04:15-15:30,17:45-23:45
400,04:15-00:45,04:00-16:15,18:15-01:00
300,04:15-00:45,04:15-16:15,18:15-01:00
2100,24 שעות,עד 16:15,מהשעה 17:30
1820,05:00-00:00,05:30-16:00,19:00-23:00
1840,05:00-00:00,05:30-16:00,18:30-23:00
2960,05:00-00:00,05:00-16:00,18:15-20:15
2940,05:00-00:00,05:00-16:00,18:15-20:15
680,06:00-21:30,"סגור ",19:30-21:15
6150,05:15-00:00,05:15-15:00,19:00-21:00
6900,05:15-00:00,05:15-15:00,19:00-21:00
